test,method,n_pairs,mean_method,mean_random,mean_diff,t_stat,p_val,p_adj,reject,cohen_d,noise
test,gradient_input_max,100,68.35058531036765,68.46512402735956,-0.11453871699190359,-0.3875061800473341,0.6503933158841649,1.0,False,-0.03875061800473341,0.03
test,hamming_max,100,68.32293286587368,68.46512402735956,-0.14219116148587538,-0.43056994114186037,0.666141480530952,1.0,False,-0.043056994114186044,0.03
test,hamming_min,100,68.42187533667843,68.46512402735956,-0.04324869068112186,-0.1491147026565651,0.5591167697789889,1.0,False,-0.01491147026565651,0.03
test,model_grad_avg,100,68.08249319418502,68.46512402735956,-0.38263083317454066,-1.4164159338135671,0.9201036887098837,1.0,False,-0.1416415933813567,0.03
test,model_grad_max,100,68.14872453246495,68.46512402735956,-0.316399494894605,-1.0323857592746946,0.8477965502105902,1.0,False,-0.10323857592746946,0.03
test,qbc,100,69.02102777685785,68.46512402735956,0.5559037494982971,2.282472566266611,0.01230043202204133,0.17220604830857864,False,0.22824725662666115,0.03
test,threshold_avg,100,69.56684421248069,68.46512402735956,1.1017201851211387,3.817273987243318,0.00011761949861893697,0.0016466729806651175,True,0.3817273987243318,0.03
test,threshold_max,100,69.91148789349933,68.46512402735956,1.446363866139753,4.873643826421306,2.0855403711222986e-06,2.919756519571218e-05,True,0.48736438264213056,0.03
testAB,aligns,100,73.24876656384076,73.32646703725499,-0.07770047341422355,-0.394833877687001,0.6530925702877468,1.0,False,-0.0394833877687001,0.03
testAB,grad01_avg,100,72.47435105816065,73.32646703725499,-0.8521159790943154,-4.44155080263099,0.9999883592155648,1.0,False,-0.44415508026309897,0.03
testAB,grad01_max,100,72.37785274294195,73.32646703725499,-0.9486142943130349,-5.656005767609955,0.999999924792329,1.0,False,-0.5656005767609955,0.03
testAB,gradient_conf_avg,100,72.47304130343642,73.32646703725499,-0.8534257338185647,-5.234366626634154,0.9999995351238147,1.0,False,-0.5234366626634153,0.03
testAB,gradient_conf_max,100,72.49901485918838,73.32646703725499,-0.8274521780665823,-4.625387385700695,0.9999943366896169,1.0,False,-0.46253873857006955,0.03
testAB,gradient_input_avg,100,72.6512848842387,73.32646703725499,-0.6751821530162643,-3.9069749122571302,0.9999144956794185,1.0,False,-0.39069749122571307,0.03
testAB,gradient_input_max,100,72.94875376254298,73.32646703725499,-0.37771327471199256,-2.1837828766678657,0.9843299486734706,1.0,False,-0.2183782876667866,0.03
testAB,hamming_max,100,73.52849446949737,73.32646703725499,0.20202743224239555,1.0480990096636904,0.14857251698517013,1.0,False,0.10480990096636904,0.03
testAB,hamming_min,100,72.62159119909714,73.32646703725499,-0.7048758381578302,-3.7682244309581345,0.999860254825658,1.0,False,-0.3768224430958134,0.03
testAB,model_grad_avg,100,72.31322334843908,73.32646703725499,-1.0132436888158831,-6.796035609247837,0.999999999592081,1.0,False,-0.6796035609247837,0.03
testAB,model_grad_max,100,72.5164905917629,73.32646703725499,-0.809976445492072,-4.516586217990652,0.9999913074009468,1.0,False,-0.4516586217990653,0.03
testAB,qbc,100,73.83153112735421,73.32646703725499,0.5050640900992223,3.2019078353775297,0.0009180142983089706,0.012852200176325589,True,0.320190783537753,0.03
testAB,threshold_avg,100,74.05138171137186,73.32646703725499,0.7249146741168846,4.835890323547911,2.43222273324113e-06,3.405111826537582e-05,True,0.48358903235479117,0.03
testAB,threshold_max,100,74.13299917225929,73.32646703725499,0.8065321350043174,4.503010381942762,9.166182641830653e-06,0.00012832655698562915,True,0.4503010381942762,0.03
testAG,aligns,100,74.64173535241571,74.38915606300567,0.2525792894100348,0.9182005331430291,0.18037275386329693,1.0,False,0.0918200533143029,0.03
testAG,grad01_avg,100,73.77677147977896,74.38915606300567,-0.6123845832267191,-2.0040715999850605,0.976102873852429,1.0,False,-0.20040715999850603,0.03
testAG,grad01_max,100,73.76708617769295,74.38915606300567,-0.6220698853127196,-2.430869582418836,0.9915691808687697,1.0,False,-0.24308695824188367,0.03
testAG,gradient_conf_avg,100,73.7406929511377,74.38915606300567,-0.6484631118679541,-2.5254579859409545,0.9934291579188939,1.0,False,-0.2525457985940955,0.03
testAG,gradient_conf_max,100,74.05878810905813,74.38915606300567,-0.3303679539475388,-1.2308807467494058,0.8893580997924907,1.0,False,-0.1230880746749406,0.03
testAG,gradient_input_avg,100,73.97354629019678,74.38915606300567,-0.41560977280889816,-1.5893877279164625,0.9424192731200899,1.0,False,-0.15893877279164628,0.03
